,city,state,country,latitude,longitude,population,msa
0,mahopac,new york,united states,41.37232,-73.73346,8369,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
1,seven hills,ohio,united states,41.39533,-81.67624,11690,
2,new martinsville,west virginia,united states,39.64452,-80.8576,5218,WV NONMETROPOLITAN AREA
3,sint anthonis,north brabant,netherlands,51.62667,5.88194,3340,
4,machali,o higgins region,chile,-34.18082,-70.64933,27595,
6,jankowice,silesia,poland,50.0009,18.98901,2840,
7,jacksonville,oregon,united states,42.31346,-122.96699,2883,Jacksonville FL MSA
8,fjerritslev,north denmark,denmark,57.08822,9.26622,3332,
9,palmanova,balearic islands,spain,39.5247,2.53922,7040,
10,astorga,castille and leon,spain,42.45879,-6.05601,12078,
12,kilsyth,scotland,united kingdom,55.97596,-4.05916,9860,
13,netstal,glarus,switzerland,47.06337,9.05734,2900,
14,revesby,new south wales,australia,-33.95,151.01667,14056,
15,tigerville,south carolina,united states,35.06845,-82.36845,1312,Greenville-Mauldin-Easley SC MSA
16,flims,grisons,switzerland,46.83705,9.28458,2536,
17,sinai,mymensingh,bangladesh,25.2089,89.7025,0,
18,sandsli,vestland,norway,60.30323,5.28554,1070,
19,olivette,missouri,united states,38.66533,-90.37595,7870,
20,golders green,england,united kingdom,51.57631,-0.20033,18818,
21,simpelveld,limburg,netherlands,50.83417,5.98194,2405,
22,coleford,england,united kingdom,51.79535,-2.61354,10371,
24,buttrio,friuli venezia giulia,italy,46.01098,13.33354,3947,
25,herencia,castille la mancha,spain,39.36616,-3.35735,7879,
26,velden,bavaria,germany,49.61388,11.51008,1887,
27,biandronno,lombardy,italy,45.81281,8.70882,3267,
28,rexdale,ontario,canada,43.7167,-79.5667,0,
29,yorktown,indiana,united states,40.17365,-85.49414,11231,Muncie IN MSA
30,toftlund,south denmark,denmark,55.18858,9.06925,3438,
32,grieskirchen,upper austria,austria,48.23333,13.83333,4515,
33,llucmajor,balearic islands,spain,39.49093,2.89108,36078,
34,marlborough,connecticut,united states,41.6331,-72.4547,6368,Hartford-West Hartford-East Hartford CT MSA
35,zama,kanagawa,japan,35.4879,139.39101,134671,
36,chungju,north chungcheong,south korea,36.97666,127.9287,209483,
38,magnitogorsk,chelyabinsk,russia,53.41861,59.04722,413351,
39,fayetteville,west virginia,united states,38.05289,-81.10399,2892,WV NONMETROPOLITAN AREA
42,gibbsboro,new jersey,united states,39.83817,-74.96489,2244,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA
44,kortenhoef,north holland,netherlands,52.23917,5.10694,6250,
45,glinde,schleswig holstein,germany,53.5441,10.20048,16210,
46,sydenham,victoria,australia,-37.7,144.76667,10731,
47,cruise,kentucky,united states,37.3184,-84.123,0,
48,selmer,tennessee,united states,35.17008,-88.59227,4488,TN NONMETROPOLITAN AREA
49,haddon,new jersey,united states,39.9063,-75.0625,14539,
50,belmont,new hampshire,united states,43.44536,-71.47785,1301,NH NONMETROPOLITAN AREA
51,gozzano,piedmont,italy,45.74273,8.43659,4596,
52,bovolone,veneto,italy,45.26142,11.11786,14036,
53,antegnate,lombardy,italy,45.48648,9.79146,2915,
54,koudum,friesland,netherlands,52.91551,5.44834,2600,
55,bloomfield,new mexico,united states,36.71112,-107.98451,7314,Farmington NM MSA
56,wadern,saarland,germany,49.54122,6.88774,17282,
59,espejo,region metropolitana,chile,-33.5333,-70.7167,98804,
62,lonato,lombardy,italy,45.46079,10.47732,8186,
63,earls court,england,united kingdom,51.49159,-0.19801,9104,
64,rouvignies,hauts de france,france,50.32285,3.44769,596,
65,east finchley,barnet,united kingdom,51.5902,-0.1753,15989,
66,broons,brittany,france,48.31721,-2.26054,2542,
67,le bois plage en re,nouvelle aquitaine,france,46.18622,-1.39238,2401,
69,hank,north brabant,netherlands,51.735,4.89722,4323,
70,palomar,valencia,spain,38.85395,-0.5025,520,
71,kalimpong,west bengal,india,27.07059,88.47529,43000,
72,normal,alabama,united states,34.789,-86.5719,0,Huntsville AL MSA
73,varennes sur seine,ile de france,france,48.37304,2.92571,3494,
74,wilnsdorf,north rhine westphalia,germany,50.81667,8.1,21505,
75,charneca,lisbon,portugal,38.78351,-9.14348,10509,
76,cuers,provence alpes cote d azur,france,43.23754,6.07178,8869,
77,wommels,friesland,netherlands,53.10883,5.58749,2065,
78,haines,alaska,united states,59.23595,-135.44533,1713,AK NONMETROPOLITAN AREA
80,cusset,auvergne rhone alpes,france,46.13452,3.45639,14562,
81,apoquindo,region metropolitana,chile,-33.4415,-70.4602,0,
82,outremont,quebec,canada,45.5167,-73.6167,0,
83,coutances,normandie,france,49.0453,-1.4453,8454,
84,edsbyn,gavleborg,sweden,61.37692,15.81747,4179,
85,warrensburg,new york,united states,43.49674,-73.77623,3103,Glens Falls NY MSA
86,humboldt,iowa,united states,42.7208,-94.21524,4596,IA NONMETROPOLITAN AREA
87,phillip island,victoria,australia,-38.48349,145.23102,7071,
88,skogas,stockholm,sweden,59.2167,18.15,0,
89,jeffersonville,vermont,united states,44.64394,-72.82929,753,VT NONMETROPOLITAN AREA
90,new carrollton,maryland,united states,38.96983,-76.87997,12786,
91,delran,new jersey,united states,40.017,-74.9495,16548,
92,mudur,tamil nadu,india,12.4112,79.6543,0,
93,gilly,wallonia,belgium,50.42449,4.4789,20043,
94,bucknell,england,united kingdom,52.35997,-2.95066,717,
95,new johnsonville,tennessee,united states,36.02117,-87.96698,1897,TN NONMETROPOLITAN AREA
96,schiermonnikoog,friesland,netherlands,53.48025,6.15209,835,
97,stenkullen,vastra gotaland,sweden,57.79476,12.31688,2000,
98,kety,lesser poland,poland,49.88214,19.22333,19249,
99,jaszbereny,jasz nagykun szolnok,hungary,47.5,19.91667,27835,
100,illesheim,bavaria,germany,49.4802,10.38165,824,
101,windber,pennsylvania,united states,40.2398,-78.83502,3974,PA NONMETROPOLITAN AREA
102,sotkamo,kainuu,finland,64.13333,28.41667,10368,
103,skjold,rogaland,norway,59.50273,5.58687,600,
104,pickens,south carolina,united states,34.88345,-82.70736,3173,Greenville-Mauldin-Easley SC MSA
105,segeltorp,stockholm,sweden,59.27597,17.93072,10536,
106,fairview,tennessee,united states,35.98201,-87.1214,8331,Nashville-Davidson-Murfreesboro-Franklin TN MSA
107,weybridge,surrey,united kingdom,51.362,-0.453,15449,
109,thornwood,new york,united states,41.12343,-73.77902,3759,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
110,bussigny,vaud,switzerland,46.5511,6.55597,7408,
113,costa volpino,lombardy,italy,45.82768,10.10076,8705,
114,elland,calderdale,united kingdom,53.683,-1.84,11676,
115,samlesbury,lancashire,united kingdom,53.768,-2.621,1206,
116,molenhoek,north brabant,netherlands,51.71113,5.36809,3745,
117,estherville,iowa,united states,43.40163,-94.83276,6011,IA NONMETROPOLITAN AREA
118,aerdenhout,noord holland,netherlands,52.3644,4.5972,0,
119,snowmass,colorado,united states,39.3317,-106.9862,0,CO NONMETROPOLITAN AREA
120,ruaraka,nairobi city,kenya,-1.2404,36.8798,0,
121,saint pierre les elbeuf,normandy,france,49.27901,1.04305,8602,
122,canaan,connecticut,united states,42.02731,-73.32928,1212,CT NONMETROPOLITAN AREA
123,hornslet,central jutland,denmark,56.3155,10.32041,4906,
124,steinbach,bavaria,germany,50.15328,11.65055,3522,
125,de glind,gelderland,netherlands,52.12,5.50694,320,
127,diepenveen,overijssel,netherlands,52.2894,6.15,10838,
128,rotebro,stockholm,sweden,59.4667,17.9167,0,
129,avlum,central jutland,denmark,56.26539,8.79256,3273,
130,crumlin,leinster,ireland,53.32154,-6.31439,11294,
131,winnsboro,texas,united states,32.95734,-95.29022,3340,TX NONMETROPOLITAN AREA
132,contoocook,new hampshire,united states,43.22202,-71.71397,1444,NH NONMETROPOLITAN AREA
133,gray,bourgogne franche comte,france,47.44575,5.59215,7402,
134,blokhus,north denmark,denmark,57.24797,9.58971,501,
136,henley,new south wales,australia,-33.84335,151.13557,460,
137,broadway,england,united kingdom,52.03825,-1.86079,2540,
138,valdese,north carolina,united states,35.74069,-81.56315,4459,Hickory-Lenoir-Morganton NC MSA
139,landen,flanders,belgium,50.75267,5.082,14458,
140,tuscola,illinois,united states,39.7992,-88.2831,4443,IL NONMETROPOLITAN AREA
141,sai kung,sai kung,china,22.38333,114.26667,35800,
142,kimbe,west new britain,papua new guinea,-5.55085,150.13766,18847,
144,catterick,england,united kingdom,54.37542,-1.63328,3155,
145,bank,north rhine westphalia,germany,50.8294,6.0697,0,
