city,state,country,latitude,longitude,population
mahopac,new york,united states,41.37232,-73.73346,8369
seven hills,ohio,united states,41.39533,-81.67624,11690
new martinsville,west virginia,united states,39.64452,-80.8576,5218
sint anthonis,north brabant,netherlands,51.62667,5.88194,3340
machali,o higgins region,chile,-34.18082,-70.64933,27595
jankowice,silesia,poland,50.0009,18.98901,2840
jacksonville,oregon,united states,42.31346,-122.96699,2883
fjerritslev,north denmark,denmark,57.08822,9.26622,3332
palmanova,balearic islands,spain,39.5247,2.53922,7040
astorga,castille and leon,spain,42.45879,-6.05601,12078
kilsyth,scotland,united kingdom,55.97596,-4.05916,9860
netstal,glarus,switzerland,47.06337,9.05734,2900
revesby,new south wales,australia,-33.95,151.01667,14056
tigerville,south carolina,united states,35.06845,-82.36845,1312
flims,grisons,switzerland,46.83705,9.28458,2536
sinai,mymensingh,bangladesh,25.2089,89.7025,0
sandsli,vestland,norway,60.30323,5.28554,1070
olivette,missouri,united states,38.66533,-90.37595,7870
golders green,england,united kingdom,51.57631,-0.20033,18818
simpelveld,limburg,netherlands,50.83417,5.98194,2405
coleford,england,united kingdom,51.79535,-2.61354,10371
buttrio,friuli venezia giulia,italy,46.01098,13.33354,3947
herencia,castille la mancha,spain,39.36616,-3.35735,7879
velden,bavaria,germany,49.61388,11.51008,1887
biandronno,lombardy,italy,45.81281,8.70882,3267
rexdale,ontario,canada,43.7167,-79.5667,0
yorktown,indiana,united states,40.17365,-85.49414,11231
toftlund,south denmark,denmark,55.18858,9.06925,3438
grieskirchen,upper austria,austria,48.23333,13.83333,4515
llucmajor,balearic islands,spain,39.49093,2.89108,36078
marlborough,connecticut,united states,41.6331,-72.4547,6368
zama,kanagawa,japan,35.4879,139.39101,134671
chungju,north chungcheong,south korea,36.97666,127.9287,209483
magnitogorsk,chelyabinsk,russia,53.41861,59.04722,413351
fayetteville,west virginia,united states,38.05289,-81.10399,2892
gibbsboro,new jersey,united states,39.83817,-74.96489,2244
kortenhoef,north holland,netherlands,52.23917,5.10694,6250
glinde,schleswig holstein,germany,53.5441,10.20048,16210
sydenham,victoria,australia,-37.7,144.76667,10731
cruise,kentucky,united states,37.3184,-84.123,0
selmer,tennessee,united states,35.17008,-88.59227,4488
haddon,new jersey,united states,39.9063,-75.0625,14539
belmont,new hampshire,united states,43.44536,-71.47785,1301
gozzano,piedmont,italy,45.74273,8.43659,4596
bovolone,veneto,italy,45.26142,11.11786,14036
antegnate,lombardy,italy,45.48648,9.79146,2915
