city,state,country,latitude,longitude,population,msa,cluster,pred-MSA
mahopac,new york,united states,41.37232,-73.73346,8369,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,0,new york city-brooklyn-queens new york msa
seven hills,ohio,united states,41.39533,-81.67624,11690,,1,cleveland-akron-parma ohio msa
sint anthonis,north brabant,netherlands,51.62667,5.88194,3340,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
machali,o higgins region,chile,-34.18082,-70.64933,27595,,4,rancagua o higgins region msa
jankowice,silesia,poland,50.0009,18.98901,2840,,5,krakow-katowice-ostrava lesser poland-silesia-moravskoslezsky msa
jacksonville,oregon,united states,42.31346,-122.96699,2883,Jacksonville FL MSA,6,medford oregon msa
palmanova,balearic islands,spain,39.5247,2.53922,7040,,8,palma-calvia balearic islands msa
kilsyth,scotland,united kingdom,55.97596,-4.05916,9860,,10,glasgow-edinburgh-dundee scotland msa
netstal,glarus,switzerland,47.06337,9.05734,2900,,11,zurich-freiburg-geneva zurich-baden wurttemberg-geneve msa
revesby,new south wales,australia,-33.95,151.01667,14056,,12,sydney new south wales msa
tigerville,south carolina,united states,35.06845,-82.36845,1312,Greenville-Mauldin-Easley SC MSA,13,greenville south carolina msa
sandsli,vestland,norway,60.30323,5.28554,1070,,16,bergen vestland msa
olivette,missouri,united states,38.66533,-90.37595,7870,,17,st louis-o fallon-st charles missouri msa
golders green,england,united kingdom,51.57631,-0.20033,18818,,18,london-manchester-birstall england-manchester-leicester msa
simpelveld,limburg,netherlands,50.83417,5.98194,2405,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
coleford,england,united kingdom,51.79535,-2.61354,10371,,18,london-manchester-birstall england-manchester-leicester msa
velden,bavaria,germany,49.61388,11.51008,1887,,21,nuremberg-nurnberg-furth bavaria msa
biandronno,lombardy,italy,45.81281,8.70882,3267,,22,milan-verona-padova lombardy-veneto msa
rexdale,ontario,canada,43.7167,-79.5667,0,,23,toronto-markham-vaughan ontario msa
yorktown,indiana,united states,40.17365,-85.49414,11231,Muncie IN MSA,24,muncie-anderson indiana msa
grieskirchen,upper austria,austria,48.23333,13.83333,4515,,26,linz upper austria msa
marlborough,connecticut,united states,41.6331,-72.4547,6368,Hartford-West Hartford-East Hartford CT MSA,0,new york city-brooklyn-queens new york msa
zama,kanagawa,japan,35.4879,139.39101,134671,,28,sagamihara-fujisawa-atsugi kanagawa msa
chungju,north chungcheong,south korea,36.97666,127.9287,209483,,29,chungju north chungcheong msa
magnitogorsk,chelyabinsk,russia,53.41861,59.04722,413351,,30,magnitogorsk chelyabinsk msa
gibbsboro,new jersey,united states,39.83817,-74.96489,2244,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,0,new york city-brooklyn-queens new york msa
kortenhoef,north holland,netherlands,52.23917,5.10694,6250,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
glinde,schleswig holstein,germany,53.5441,10.20048,16210,,32,hamburg-altona-norderstedt hamburg-schleswig holstein msa
sydenham,victoria,australia,-37.7,144.76667,10731,,33,melbourne-reservoir-craigieburn victoria msa
haddon,new jersey,united states,39.9063,-75.0625,14539,,0,new york city-brooklyn-queens new york msa
gozzano,piedmont,italy,45.74273,8.43659,4596,,22,milan-verona-padova lombardy-veneto msa
bovolone,veneto,italy,45.26142,11.11786,14036,,22,milan-verona-padova lombardy-veneto msa
antegnate,lombardy,italy,45.48648,9.79146,2915,,22,milan-verona-padova lombardy-veneto msa
koudum,friesland,netherlands,52.91551,5.44834,2600,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
espejo,region metropolitana,chile,-33.5333,-70.7167,98804,,39,santiago-santiago-puente alto region metropolitana-santiago metropolitan msa
lonato,lombardy,italy,45.46079,10.47732,8186,,22,milan-verona-padova lombardy-veneto msa
earls court,england,united kingdom,51.49159,-0.19801,9104,,18,london-manchester-birstall england-manchester-leicester msa
rouvignies,hauts de france,france,50.32285,3.44769,596,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
east finchley,barnet,united kingdom,51.5902,-0.1753,15989,,18,london-manchester-birstall england-manchester-leicester msa
hank,north brabant,netherlands,51.735,4.89722,4323,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
palomar,valencia,spain,38.85395,-0.5025,520,,42,murcia-elche-torrevieja murcia-valencia msa
normal,alabama,united states,34.789,-86.5719,0,Huntsville AL MSA,44,huntsville alabama msa
wilnsdorf,north rhine westphalia,germany,50.81667,8.1,21505,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
charneca,lisbon,portugal,38.78351,-9.14348,10509,,46,lisbon-sintra-amadora lisbon-lisboa msa
cuers,provence alpes cote d azur,france,43.23754,6.07178,8869,,47,marseille-toulon-aix en provence provence alpes cote d azur msa
wommels,friesland,netherlands,53.10883,5.58749,2065,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
apoquindo,region metropolitana,chile,-33.4415,-70.4602,0,,39,santiago-santiago-puente alto region metropolitana-santiago metropolitan msa
outremont,quebec,canada,45.5167,-73.6167,0,,50,montreal-laval-longueuil quebec msa
warrensburg,new york,united states,43.49674,-73.77623,3103,Glens Falls NY MSA,53,albany-schenectady new york msa
skogas,stockholm,sweden,59.2167,18.15,0,,56,stockholm-uppsala-sollentuna stockholm-uppsala msa
new carrollton,maryland,united states,38.96983,-76.87997,12786,,0,new york city-brooklyn-queens new york msa
delran,new jersey,united states,40.017,-74.9495,16548,,0,new york city-brooklyn-queens new york msa
gilly,wallonia,belgium,50.42449,4.4789,20043,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
schiermonnikoog,friesland,netherlands,53.48025,6.15209,835,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
stenkullen,vastra gotaland,sweden,57.79476,12.31688,2000,,61,gothenburg-goteborg-molndal vastra gotaland msa
kety,lesser poland,poland,49.88214,19.22333,19249,,5,krakow-katowice-ostrava lesser poland-silesia-moravskoslezsky msa
segeltorp,stockholm,sweden,59.27597,17.93072,10536,,56,stockholm-uppsala-sollentuna stockholm-uppsala msa
weybridge,surrey,united kingdom,51.362,-0.453,15449,,18,london-manchester-birstall england-manchester-leicester msa
thornwood,new york,united states,41.12343,-73.77902,3759,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,0,new york city-brooklyn-queens new york msa
bussigny,vaud,switzerland,46.5511,6.55597,7408,,11,zurich-freiburg-geneva zurich-baden wurttemberg-geneve msa
costa volpino,lombardy,italy,45.82768,10.10076,8705,,22,milan-verona-padova lombardy-veneto msa
elland,calderdale,united kingdom,53.683,-1.84,11676,,18,london-manchester-birstall england-manchester-leicester msa
samlesbury,lancashire,united kingdom,53.768,-2.621,1206,,18,london-manchester-birstall england-manchester-leicester msa
molenhoek,north brabant,netherlands,51.71113,5.36809,3745,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
aerdenhout,noord holland,netherlands,52.3644,4.5972,0,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
ruaraka,nairobi city,kenya,-1.2404,36.8798,0,,71,nairobi-ruiru-kikuyu nairobi area-kiambu msa
saint pierre les elbeuf,normandy,france,49.27901,1.04305,8602,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
hornslet,central jutland,denmark,56.3155,10.32041,4906,,74,arhus-aarhus-randers central jutland-midtjylland msa
de glind,gelderland,netherlands,52.12,5.50694,320,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
diepenveen,overijssel,netherlands,52.2894,6.15,10838,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
rotebro,stockholm,sweden,59.4667,17.9167,0,,56,stockholm-uppsala-sollentuna stockholm-uppsala msa
